app,ulasan,bintang
JMO,Mantap BP Jamsostek setelah aplikasi diganti jadi JMO 👍. Pertahankan dan tingkatkan terus aplikasinya biar semua bisa lebih mudah dilakukan secara digital. Thanx BP Jamsostek 🙏,5
satusehat,sudh vaksin dan kartu vaksin sudh terbit tapi setatus di aplikasi masi merah ( belum vaksin ),1
pertamina,Aplikasi gak mutu menyusahkan aja,1
JMO,"Verifikasi fotonya gada akhlak, tempat dan HP selalu terang dan selalu gagal.. 2x sudah ke kantor BPJS buat aktifin dan keblokir terus",1
satusehat,"Verifikasinya gak pernah diterima, padahal kode otp sdh sesuai, gmn nih?",1
satusehat,Aplks apa ini...di benerin yg baik dong...jangan cuman menang nama doang...masa kalah sama aplks..yg lain..,1
satusehat,"GAK BISA MASUK, SELALU KELUAR APLIKASI.. AHH KUNTUL",1
pertamina,Ribet . . . . Pade ribet,1
satusehat,Tidak bisa login padahal semua data sudah benar,1
pertamina,"gara² ini aku sering kena marah bapak akuu,kapan sih pengumuman nyo lama nian saket kuping aku ni keno marah teross woyy",1
JMO,sangat membantu untuk kenyamanan dlm pengecekan aplikasi ini.terimakasih untuk kemudahannya.,5
mobileJKN,Gabisa rubah faskes. Tolong perbaiki scpatnya.!!,3
satusehat,Susahhhhhh berkali2 sertifikat tdk muncul terus......aplikasi blm siap,1
mobileJKN,Sulit dipakai.. g guna sama sekali,1
pertamina,"Maaf aplikasinya gak terlalu bersahabat di daerah saya sering keluar gak jelas lemot juga, gak ngaruh juga klo emng di wajibkan ,toh masih ada SPBU MOBILE & SHELL",1
satusehat,Ini knp y q udh vaksin yg prtma tpi sertifikat ny blom trsedia,5
satusehat,"Noted, sudah berjalan dgn baik,. Trimakasih",5
satusehat,G bisa dibuka.. payah,1
mobileJKN,"Aplikasi sangat membantu, tapi keseringan minta update.. Tiap mau log in harus update dulu..",2
JMO,Alhamdulillah ok 😍🙏🏾👍🏾👍🏾,5
satusehat,"Aplikasinya keren, bisa tau zona merah atau hijau disekitar, serifikat ada vaksin 1 dan 2, UI rapih, friendly user. Yg ngulas bintang kecil gatau cara pakainya aja, harus update dulu aplikasinya yg terbaru baru bisa unduh sertifikat",5
satusehat,"Aplikasinya gak bisa dipakai, mau ngisi tanggal lahir ga bisa. Benerin dong, jgn malah bikin susah.",1
JMO,"sistem yg bagus, mudah buka app nya & kumplit",5
satusehat,Cara melihat sertifikat vaksincopit 19 ke 2,5
pertamina,"Aplikasi error',mau daftar gak bisa",1
JMO,Sangat memuaskan.. cepat dalam prosesnya. ...,5
JMO,Apk nya sangat tidak di rekomendasi kan mau daftar aja di persulit apk sampah buang aja anjeng 😒😒👎👎👎,1
JMO,"Susah dibuka,jaringan internet mulu gan",1
pertamina,"aplikasi gak guna, bikin ribet masyarakat , nyari cuan dari nyusuh orang downlod",1
pertamina,"Aplikasi nya terlalu protektif, mengalahkan aplikasi perbankan besar, masa iya vpn resmi dari operator seluler saya masih dianggap tidak aman. Saya pake mobile banking dari 3 Bank gak menolak lewat vpn, akulaku, kredivo, ovo, semua akun belanja online saya gak menolak. Tolong developer belajar lagi sama developer mobile banking.",2
pertamina,Masa setelah update ga bisa upload struk gimana critanya ini 😈😈😈,2
satusehat,Tidak membantu dalam hal apapun,1
mobileJKN,Nice App.. Sgt membantu,5
pertamina,Nunggu nomor verifikasi ga masuk² SMS nya) :,1
JMO,aplikasi terbaik,5
mobileJKN,Kok gk bis d intal ya,1
satusehat,ga bisa login gagal terus,1
JMO,"Maap y,,,aplikasi ini buruk cek saldonya susah",1
KAI,Aplikasi buruk setiap mau search gangguan mulu! tolong di perbaiki,1
pertamina,"Aplikasi nya sangat membingungkan, apalagi bagi pengguna Telp manual",1
pertamina,Belum layak pakai. Banyak bug. Setelah daftar tidak bisa login.,1
satusehat,Gak bisa dibuka!! 😵,1
satusehat,"20 kali kirim OTP gak bisa verifikasi, lebih bagus Shopee ketimbang aplikasi pemerintah!",1
satusehat,Aplikasi ora jelas bobrok kabeh.....😡🤌🤦🏻,1
mobileJKN,Aplikasi tidak Respon mau apdate data gak bisa,1
satusehat,"Sya download pedulilindungi kenpa tidak bisa ya ..apa blum masuk data sertifikat vaksinasi .padahl sya udh di vaksin ,,",5
satusehat,Aplikasi ini tdk mmbantu sering error & mnyusahkan. Bila baik2 sjja sih gak papa. Tapi ini sgt myusahkan bikin repot. Aku uninstall saja biar tdk emozii🤧🤧🤧,1
JMO,untuk cek saldo jht ga bisa payah sistemnya kerjanya molor,1
pertamina,"Selama penggunaan, tanpa masalah aplikasinya. Problem di edc spbu sering tidak terbaca barcodenya.",5
satusehat,"Belum maksimal,dan tiba tiba hilang aplikasinya dari hp.sy belum mersakan manfaat dari aplikasi ini,tolong di perbaiki lagi biar sempurna.",2
mobileJKN,Saya baru daftar jkn tp ga bs keterangan nya sudah terdaftar trs saya login keterangan nya username atau password salah..... Lah piye toh...,1
JMO,Setelah dari bpjstk ke jmo malah tidak bsa login,1
satusehat,Sebagian android terkesan normal tapi banyak yg mengalami error bug...apa solusinya?,1
satusehat,"Saya sudah di vaksin kedua dan sudah ada notifikasi vaksin, tapi sampai sekarang belum juga dapat sertifikat nya Sungguh mengecewakan",1
mobileJKN,Gmn sih penyedia aplikasi masa minta update terus sih trus datanya ilang2 hrs masukin no bpjs lg males bgt,3
pertamina,kenapaa diminta update tp gk bisa2 yaaa buat update,2
satusehat,kenapa ya aplikasinya itu ada tulisan pedulilindungi terus menutup? Tolong adanya perbaikan karena ini sangat penting,1
mobileJKN,tiap kali disuruh update terus.,2
JMO,Versi terbaru bukannya nambah bagus malah jdi error aplikasinya😑,1
JMO,bermanfaat sekali buat HR tua,5
satusehat,Kok saya kesal lh sama peduli lindung.padahal saya dah divaksin 1 dan 2 dah lama tapi gk muncul pula sertifikat nya.padahal katanya nanti dikirim nanti ke peduli lindungi.mohon penjelasan dong Kominfo dan staf peduli lindungi,1
satusehat,Aplikasi sering low respon atau error,4
