no,app,ulasan,label_bintang,bintang_rata,n_ulasan_sama,svm,logreg,nb,indobert
48,KAI,Ko belom masuk kode vertifikasi melalui sms ya udah coba berulang2,neutral,3.0,1,neutral,neutral,neutral,neutral
49,satusehat,"Udh di update kalah hese..kumaha? Daftar ters, lengkapi NIK,..kitu we..",negative,1.0,1,negative,negative,negative,negative
50,mobileJKN,"Fitur faskes gigi tidak muncul dan jawabannya itu"" mlulu",neutral,3.0,1,negative,negative,neutral,negative
51,pertamina,Apk tak berguna.. Sama kaya..... Yg sekarang menyulitkan masyarakat kecil... Cari uang susah.. Paraahhhhh,negative,1.0,1,negative,negative,negative,negative
52,pertamina,Untuk pembayaran di SPBU tolong di buat lebih simpel lagi,positive,5.0,1,neutral,neutral,positive,positive
53,pertamina,Sangat jelek bikin susah rakyat,negative,1.0,1,negative,negative,negative,negative
54,JMO,Aplikasi ini bermanfaat,positive,5.0,4,positive,positive,positive,positive
55,satusehat,Ok banget dah..👍👍,positive,5.0,1,positive,positive,positive,positive
56,JMO,Alert bermasalah coba lagi.. coba lagi.. coba lagi,neutral,3.0,1,negative,negative,negative,negative
57,JMO,Sangat membantu sekali trimakasih,positive,5.0,7,positive,positive,positive,positive
58,satusehat,Kembang kan terus,positive,5.0,1,positive,positive,positive,positive
59,satusehat,Urgenisitas bagi yangbersangkutan Mendukung proses program pemerintah,positive,4.0,1,positive,positive,positive,positive
60,pertamina,"Buat Oppo f1 force close sendiri,",neutral,3.0,1,negative,negative,negative,negative
61,JMO,"Apk tidak berguna bikin pusing tidak bisa login,di apk sebelumnya tidak ada masalah dan lacar2 saja permainan klasik managemnt👎",negative,1.0,1,negative,negative,negative,negative
62,JMO,tambah mantap aplikasi nya,positive,5.0,1,positive,positive,positive,positive
63,pertamina,Agak lemot.tolong dibprrbsiki,positive,4.0,1,neutral,positive,neutral,neutral
64,JMO,sangat bermanfaat dan user friendly top,positive,5.0,1,positive,positive,positive,positive
65,mobileJKN,"setiap ingin login ke aplikasi, secara menakjubkan aplikasi berhenti (tidak mau login) udah reset password juga masih tetep tidak bisa login. ada gangguan kah? masa aplikasi sekelas nasional kaya gini?",neutral,3.0,1,negative,negative,negative,negative
66,mobileJKN,Bagus walau kadang suka eror,positive,4.0,1,positive,positive,positive,positive
67,satusehat,"Pas mau masulin data nama,NIK,email,Nomer televon bisa tapi pas ngisi tanggal lahir ngak bisa jadibpas mau seken barkot jadi ngak bisa",neutral,3.0,1,negative,negative,neutral,negative
68,satusehat,Sudah vaksin masih saja sertifikat vaksin tidak tersedia???,negative,1.0,1,negative,negative,negative,negative
69,JMO,Tolong perbaiki lgi aplikasi nya bagus tapi banyak gangguannya padahal internet normal,neutral,3.0,1,negative,negative,negative,negative
70,pertamina,"Aplikasi kurang bagus masih lemot , Wala",negative,1.0,1,negative,negative,negative,negative
71,satusehat,"Vaksin ke 1 muncul sertifikatnya tpi vaksin ke 2 blm muncul"" gimana ya",positive,5.0,1,neutral,positive,neutral,neutral
72,JMO,"4 dulu ya, klu berhasil baru 5 bintang nya",positive,4.0,1,positive,positive,neutral,positive
73,JMO,liat kartu bpjs nya aja loding trus ga kebuka2,neutral,3.0,1,negative,negative,negative,negative
74,mobileJKN,Kenapa musti diperbarui setiap kali saya ingin membuka mobil jkn saya ini,neutral,3.0,1,neutral,neutral,neutral,negative
75,mobileJKN,Aman dan mempermudah pasien,negative,2.0,1,positive,positive,positive,positive
76,JMO,aplikasi sangat baik dan membantu,positive,5.0,1,positive,positive,positive,positive
77,mobileJKN,Kenapa saat saya daftar aktivasi akun gagal terus ya. Notifnya transaksi belum dapat diproses saat input no hp dan email,negative,1.0,1,negative,negative,negative,neutral
78,satusehat,Ngeborosin baterai nih......,neutral,3.0,1,negative,negative,negative,negative
79,mobileJKN,"Udah diperbarui, eh gak lama perbarui lageehh",negative,1.0,1,negative,negative,negative,negative
80,mobileJKN,Oke banget mobile jkn,positive,5.0,1,positive,positive,positive,positive
81,pertamina,Nyusahin doang Rakyat bisanya. Di SPBU gak boleh main HP bos,negative,1.0,1,negative,negative,negative,negative
82,mobileJKN,"Parah,,mau aktifasi pas mau masukin no hp keteranganya tutup sementara buka lagi jam 09.00 tanggal 04 november 2020... Ini sudah tgl 4 november 2020 jam 09.50 . KOK MASIH GA BISA MIN PARAAAAAAH",negative,1.0,1,negative,negative,negative,negative
83,mobileJKN,"Dikit2 update, bikin gak nyaman aja",negative,1.0,1,negative,negative,negative,negative
84,mobileJKN,Sudah abdit terbaru tapi susah login nya,neutral,3.0,1,positive,positive,negative,positive
85,JMO,"Aku beri bintang 3 dlu, soal nya aplikasi nya blm aku buka",neutral,3.0,1,neutral,neutral,neutral,neutral
86,KAI,rebutan klo pesan tiket mudik,positive,5.0,1,positive,positive,neutral,positive
87,pertamina,Bagaimana pendapat anda selaku yang memiliki app.... Apa anda mempunyai solusi dari semua situasi? Masyarakat banyak yang mengeluh apa akan ada perubahan atau hanya menunggu semua ricuh dan rusuh?,negative,1.0,1,negative,negative,negative,negative
88,mobileJKN,"Bagus aplikasinya,cuma kenapa tiap buka update terus yak,heran🙄😑",neutral,3.0,1,neutral,neutral,neutral,neutral
89,JMO,Suka logout sendiri,neutral,3.0,1,negative,negative,negative,negative
90,JMO,Sangat mengecewakan😏😏,negative,1.0,1,negative,negative,negative,negative
91,JMO,"Mantap aplikasih nya,bisah cek saldo bpjs",negative,2.0,1,positive,positive,positive,positive
92,pertamina,Aturan bikin ribet!!!,negative,1.0,1,negative,negative,negative,negative
93,satusehat,Aku suka banget sama kamu,neutral,3.0,1,positive,positive,positive,positive
94,pertamina,Penjahat itu tak pernah membangun negara Mereka hanya memperkaya diri sambil merusak negara ~ Nelson Mandela,negative,1.0,1,negative,negative,negative,negative
95,mobileJKN,Sekarang fiturnya makin sip. Loginnya gampang,positive,5.0,1,positive,positive,positive,positive
96,JMO,bagus bisa membantu info,positive,4.0,1,positive,positive,positive,positive
97,satusehat,"Kami sangat terbantu sekali dengan adanya peduliLindungi ini,,terimakasih sekali peduliLindungi,,,",positive,4.0,1,positive,positive,positive,positive
98,satusehat,Beberapa kali intal aplikasi ini hasill nya kurang,neutral,3.0,1,negative,negative,negative,neutral
99,mobileJKN,Bagus mempermudah kita daftar ke faskes,positive,4.0,1,positive,positive,positive,positive
100,KAI,"Kok malah gabisa booking kalo pake wifi. Pakai paket datapun sering tulisannya ""mohon cek koneksi internet"", padahal paketan nyala --"" mohon diperbaiki",negative,2.0,1,negative,neutral,negative,negative
101,satusehat,Kasi 3 dulu klo bagus di tambahin,neutral,3.0,1,neutral,neutral,neutral,neutral
102,satusehat,"Saya sudah vaksin, di app tertulis jg sudah vaksin dosis pertama, tp kenapa sertifikat nya belum keluar jg ya ? Please, masih bisa kerja yg baik kan ya ?",negative,1.0,1,negative,neutral,neutral,neutral
103,satusehat,"Isi tanggal lahir ko susah, udah update, bongkar pasang aplikasi tetap gk bisa... Gak ada cs bantuan... Kumaha atuh iyeu teh",positive,5.0,1,negative,negative,negative,negative
104,mobileJKN,Admin mohon maaf .saya login kok gagal terus ini aplikasi lagi eror atau gimana?,neutral,3.0,1,negative,negative,negative,negative
105,satusehat,Terima kasih kominfo dan pemerintah telah berupaya maksimal melindungi rakyatnya.. aplikasi ini semoga bisa membantu memutus rantai penyebaran covid 19,positive,5.0,1,positive,positive,positive,positive
106,JMO,"Gimana ni kog ngak sesuai nomor yang di kartu bpjs di pengisian ketik ulang nomor kartu sesuai tnpa sensor,solusi nya bapak/ibu yang bertugas di bpjs.",neutral,3.0,1,neutral,positive,neutral,negative
107,JMO,oke mantap.saya tdk komentar,positive,5.0,1,positive,positive,positive,positive
108,JMO,Menu cek saldo nya dimana ya? Kok gak ada...???,neutral,3.0,1,neutral,negative,neutral,neutral
109,pertamina,Sangat mudah untuk untuk transaksi pembelian BBM,positive,5.0,1,positive,positive,positive,positive
110,satusehat,"Isi tgl lahir berkali2 gagal, alasannya formatnya salah. Pdhal kan situ yg bikin programnya.",negative,1.0,1,negative,negative,negative,negative
111,satusehat,Bagaimana cara ubah data kita ya? Nama Mariana di sertifikat Moriana?,negative,1.0,1,positive,positive,positive,neutral
112,pertamina,Semoga bermanfaat buat kita semua 🙏🙏🙏,positive,5.0,1,positive,positive,positive,positive
113,satusehat,Alikasi ini sangat membantu,neutral,3.0,1,positive,positive,positive,positive
114,pertamina,Knp harus update terus yaa..???,neutral,3.0,1,negative,neutral,negative,neutral
115,mobileJKN,"slalu muncul harus update mobile JKN, tetapi pas di buka tidak ada tulisan update/tidak bisa d update",neutral,3.0,1,negative,negative,negative,neutral
116,mobileJKN,"kenapa susah masuk,selalu ada tulisan anda sudah mencapai batas",neutral,3.0,1,negative,negative,negative,negative
117,mobileJKN,Wajib minta update..tapi ga mau di download,negative,1.0,1,negative,negative,negative,negative
118,mobileJKN,"Dengan Aplikasi Ini, Mudah Untuk Menunjukan identitas Peserta JKN KIS",positive,5.0,1,positive,positive,positive,positive
119,mobileJKN,Di dowload malah kgk bisa di buka buang2 kuota Apk kaya gini amat Parah!!,negative,1.0,1,negative,negative,negative,negative
120,mobileJKN,Rumit giliran mau dipake harus diupgrade diperbaharui susah,negative,1.0,1,negative,negative,negative,negative
121,JMO,sering keluar sendiri /bug,negative,1.0,1,negative,negative,negative,negative
122,satusehat,Aplikasi tidak berfungsi.. Guobloook...!,negative,1.0,1,negative,negative,negative,negative
123,pertamina,G bisa terhubung ke link ajah.. udah berapa x di coba tetep g bisa!!! Solusinya gmn bozz??,neutral,3.0,1,negative,neutral,negative,negative
124,pertamina,Aplilasi gak jelas,negative,1.0,1,negative,negative,negative,negative
125,JMO,Lancar untuk klaimnya,positive,5.0,1,positive,positive,positive,positive
126,mobileJKN,"Update terbaru malah susah login...., payah",negative,1.0,1,negative,negative,negative,negative
127,satusehat,Saya sangat senang dengan Apl ini.,positive,4.0,1,positive,positive,positive,positive
128,satusehat,Saya kasi 3 aja dulu kalo akurat baru,neutral,3.0,1,neutral,neutral,neutral,neutral
129,satusehat,"Tolong bantu cara login, setiap klik link dari SMS pasti harus login atau daftar. Giliran daftar gabisa gagal mulu.. Bruhh",positive,5.0,1,negative,negative,negative,negative
130,JMO,"sangat membantu pelayanan untuk publik, aplikasi juga cepat, fast respon dalam pengkinian data",positive,5.0,1,positive,positive,positive,positive
131,JMO,"Baru pasang aplikasi tapi langsung disuruh perbarui aplikasi Saya klik perbarui aplikasi tapi gak bisa masuk ""gimana maksudnya ini""🤔🤔🤔",negative,1.0,1,negative,neutral,negative,negative
132,pertamina,"Ga bisa di ajak Mabar,grafik kurang hd",negative,1.0,1,negative,negative,negative,negative
133,satusehat,Sebaiknya informasi mengenai tanggal vaksin ke 2 di cantumkan,neutral,3.0,1,positive,neutral,positive,positive
134,JMO,Aplikasi nya jelek betul.kita butuh kan untuk klem jht tidak bisa loding sam sekali.kantor bpjs ketenaga kerjaan perbaikin ini aplikasi.,negative,1.0,1,negative,negative,positive,negative
135,pertamina,terdapat banyak bug,negative,1.0,1,negative,negative,negative,negative
136,satusehat,Semua lancar dpt di akses di peduliLindungi tadinya ragu,positive,5.0,1,positive,positive,positive,positive
137,JMO,Susah masuknya..kode otp gak.valid terus....gimn donk ini...,negative,2.0,1,negative,negative,negative,negative
138,pertamina,Terlalu sulit bagiku mengisi bensin lupa bawa handphone,negative,1.0,1,negative,negative,positive,negative
139,satusehat,Knpa ya gak bisa di isi permulir padahal aku udah aktifkan semua tpi tetapa aja gak bisa masuk,negative,1.0,1,negative,negative,negative,negative
140,pertamina,"Ngebantu banget untuk aku yang jarang bawa cash dan kalo tiba-tiba kehabisan bensin tapi gak bawa uang bisa bayar pakai pembayaran digital,,",positive,5.0,1,positive,positive,positive,positive
141,satusehat,"Perbaiki aplikasinya, Tersemat notif terjadi kesalahan aplikasi terus, Akun saya juga terlogout sendiri, login kembali tidak bisa, Sekelas aplikasi resmi negara, app maintenance dan call center seyogyanya lebih responsif",neutral,3.0,1,negative,negative,negative,negative
142,satusehat,Login nya lelet,neutral,3.0,1,negative,negative,negative,negative
143,mobileJKN,Gimana ini aplikasinya terhenti terus...,neutral,3.0,1,negative,negative,negative,negative
144,JMO,Data udah di isi bener salah Mulu sih . Aplikasi ngga guna... Gue udah bayar 12 bulan sia dia doang...,negative,1.0,1,negative,negative,negative,negative
145,satusehat,Bagus kita bisa cari info klinik yg terdaftar dgn Kemenkes untuk repit dan anti gen,positive,5.0,1,positive,positive,positive,positive
146,satusehat,"Bukannya makin mudah malah ribet, mau ke akun sendiri aja susah banget, padahal signal on, pakai wifi juga ga bisa , ampun, mau buru buru kerja jdi ribett",negative,1.0,1,negative,negative,negative,negative
147,pertamina,arep daftar my pertamina we erar eror,negative,1.0,1,negative,negative,negative,negative
148,pertamina,Joss semakin simple dan mudah dalam pelayanan.,positive,5.0,1,positive,positive,positive,positive
149,JMO,Cek saldo di sebelah mana ya...? Sy cari2 di menu tidak ada pilihan cek saldo. Mohon dibantuu,neutral,3.0,1,neutral,neutral,neutral,neutral
150,satusehat,Sementara bintang 3 kalu bagus 5 bintang,neutral,3.0,1,neutral,neutral,neutral,neutral
151,satusehat,"Aplikasi tidak dapat d gunakan,, spertinya belum sempurna. Terlalu tergesa gesa memunculkan aplikasi yg malah belum siap",negative,1.0,1,negative,negative,negative,negative
152,satusehat,"Ini aplikasi gimana sih! Sertifikat saya kok malah gak muncul ya, padahal udah vaksin dan udah dpt sms. Tapi ga ada sertifikat muncull. Ini gimana ya?kok gada tanggapanya. Telpoon ke 119 malah sibuk trs. Gada jawaban",negative,1.0,1,negative,negative,negative,negative
153,satusehat,divaksin pertama panas dingin 2 minggu,positive,5.0,1,negative,negative,neutral,positive
154,JMO,Good.. cukup membantu,positive,4.0,1,positive,positive,positive,positive
155,JMO,Pengkinian datanya..kok eror..terus..ya,positive,4.0,1,negative,negative,negative,neutral
156,pertamina,Install aplikasi cuman buat kasih repiew hehehe,negative,1.0,1,negative,negative,negative,negative
157,satusehat,tanggal lahir tidak bisa di isi mohon diperbaiki,neutral,3.0,1,negative,negative,neutral,negative
158,JMO,saya suka apk ini. saya kasih 3 bintang ya,neutral,3.0,1,neutral,neutral,neutral,neutral
159,satusehat,Sy baru gunakan sekali hari ini. Jadi bintang 3 dulu ya.,neutral,3.0,1,neutral,neutral,neutral,neutral
160,pertamina,Alhamdulilah utk di wilayah sy bs mu pertamina dikepulauan Riau karimun n poin sy sdh lumayan jg semoga berkah Amiin😇😇😇,positive,5.0,1,positive,positive,positive,positive
161,satusehat,Cetak kartu blom tersedia,neutral,3.0,1,positive,positive,neutral,neutral
162,JMO,Malah gg bisa login haddew.......,negative,1.0,1,negative,negative,negative,negative
163,JMO,Gak jelas setelah di update kok jd gak bisa liat saldo tp login bisa....alasan data tidak terdaftar,negative,1.0,1,negative,negative,negative,negative
164,satusehat,"Sempet was-was karna no hp yg daftar vaksin dan di pedulilindungi beda,tp Alhamdulillah setelah vaksin pertama 2hari kemudian setifikat vaksin sudah ada dipedulilindungi,semoga vaksin kedua bisa selancar yg pertama.",positive,5.0,1,positive,positive,neutral,positive
165,satusehat,"Sering crash, aplikasi nya bagus, tp sering bgt crash, malah gabisa dibuka LG, pas awal doang",neutral,3.0,1,negative,negative,negative,negative
166,pertamina,Dua dulu... Kalo asyik nambah bintangnya,negative,2.0,1,negative,negative,negative,negative
167,mobileJKN,Terllu sring updte..,neutral,3.0,1,neutral,neutral,neutral,neutral
168,mobileJKN,"Mantap,, pelayan an cepat dan mudah.",positive,5.0,1,positive,positive,positive,positive
169,satusehat,Ikut peraturan pemerintah,positive,5.0,1,negative,negative,negative,positive
170,satusehat,"Sangat berguna utk memudahkan kami soal kesehatan,BRAVO,,,,👌👍👍",positive,5.0,1,positive,positive,positive,positive
171,JMO,sangat membantu...trrima kasih,positive,5.0,1,positive,positive,positive,positive
172,JMO,"sekarang JMO,makin lbih baik.. Mantap",positive,5.0,1,positive,positive,positive,positive
173,JMO,Alamat gmail tidak terdapatar padahal sudah benar dan password pun sudah benar tapi kenapah akun tidak di temukan makin di update makin tidak jelas,negative,2.0,1,negative,negative,negative,negative
174,satusehat,Knp ya sebelum nya kan saya hps apk ini karena mau di perbarui saya lupa nggak di logout terus selakarang mau masuk lagi nggak bisa knp ya... Padahal no nya sama,neutral,3.0,1,negative,negative,negative,neutral
175,satusehat,Ikutan aja ah ... Kaya warga +62 biar bisa buka hasil vaksin,neutral,3.0,1,negative,negative,negative,negative
176,JMO,semoga cairin nya lebih gampang,positive,4.0,1,positive,positive,positive,positive
177,satusehat,Aplikasi server susah login👎🏼,negative,1.0,1,negative,negative,negative,negative
178,mobileJKN,Terima kasih bpjs kesehatan atas infonya bagi saya yg baru beralih status...,positive,5.0,1,positive,positive,positive,positive
179,mobileJKN,Habis di upgrade malah susah di gunakan di perbaiki lagi,negative,1.0,1,negative,negative,negative,negative
180,pertamina,Beberapa kali saya mau bayar pakai my pertamina tapi sering tidak bisa.. Kata petugas SPBU nya lagi trobel lg gak bisa melayani..,negative,1.0,1,neutral,neutral,neutral,neutral
181,JMO,JMO (Jamsostek Mobile) - Klaim is the best,positive,5.0,1,positive,positive,positive,positive
182,mobileJKN,Saya binggung sama aplikasi ini saya SDH Bayah kok masih muncul tagihan y,neutral,3.0,1,negative,neutral,neutral,negative
183,mobileJKN,"Setiap bulan, setiap mau bayar, aplikasi nya minta di upgrade ulang terus hmmm😌 tapi yaudahlah gpp deh 😊",positive,4.0,1,negative,negative,negative,neutral
184,mobileJKN,"Cukup membantu, tapi kenapa puskesmas tidak buka 24 jam setiap hari",neutral,3.0,1,positive,positive,positive,positive
185,satusehat,Kenapa ya tidak bisa log.in...invalid signatur...ada yg bsa bantu..padahal nomor yg dimasukkan sudah bnr,neutral,3.0,1,negative,negative,negative,negative
186,mobileJKN,3 bintang dulu belum tau,neutral,3.0,1,neutral,neutral,neutral,neutral
187,satusehat,Oke sukses selalu,positive,5.0,1,positive,positive,positive,positive
188,satusehat,gak bisa di akses insert tanggal lahirnya,negative,1.0,1,negative,negative,neutral,negative
189,satusehat,lanjutin donwlod swkarang ini.,negative,1.0,1,negative,negative,negative,positive
190,satusehat,Sangat membantu dngn ada nya apk PeduliLindungi,positive,5.0,1,positive,positive,positive,positive
191,satusehat,Gimana ini datanya saya sudah vaksin 2 kali tapi sertifikat ke 2 kok belum ada kosong.tolong solusinya biar sertifikat ke 2 muncul .,neutral,3.0,1,negative,negative,negative,neutral
192,mobileJKN,"Sejak update, cuma masuk ke apk saja LOLAAAAA alias LOADING LAMAAAAAAAAA. Fix it's",neutral,3.0,1,negative,negative,negative,negative
193,mobileJKN,error terussss. cek premi gabisa terus,neutral,3.0,1,negative,negative,negative,negative
194,mobileJKN,Bagaimana cara mengecek saya anggota bpjs pbi,neutral,3.0,1,positive,positive,positive,positive
195,satusehat,"Hai min, sebaiknya kalau NIK KKnya satu. Digaungkan aja data vaksin kedalam satu aplikasi kepala keluarga. Biar mudah dalam pengecekannya",positive,5.0,1,positive,positive,positive,neutral
196,mobileJKN,"Bagus,cukup membantu... trimksh",positive,5.0,1,positive,positive,positive,positive
197,JMO,lumayan bagus sih ..cuman kdang perlu jaringan internet yg kuat pisan,neutral,3.0,1,positive,positive,neutral,positive
198,satusehat,"Ukuran font harus kecil, kalo gede menu ini aplikasinya jd gk komplit gk bisa daftar",neutral,3.0,1,negative,negative,negative,negative
199,JMO,Sangat membatu kita mengetahui kondisi BPJS kita dalam kondisi apapun Kedepannya makin lebih baik dalam fitur pelayanan aplikasi biar makin top kedepanya,positive,5.0,1,positive,positive,positive,positive
200,pertamina,kemarin2 sy mau upload nota bensin kok tërtolak. Tërtulis info TIDAK BISA krn SUDAH DI DAFTAR.,neutral,3.0,1,negative,neutral,neutral,neutral
201,mobileJKN,Kenapa ini mau login masukin kode aja susah?,negative,1.0,1,negative,negative,negative,negative
202,satusehat,Respon kurang cepat dan tanggap,negative,1.0,1,positive,positive,positive,negative
203,mobileJKN,"Kalau update jangan suruh login lagi dong ,bikin ribet,app lain biasa otomatis",neutral,3.0,1,negative,negative,negative,negative
204,pertamina,"Aplikasi keluar terus dan meminta muat ulang, bahkan sering kali error",neutral,3.0,1,negative,negative,negative,negative
205,satusehat,Sy sudah vaksin ke 2 tetapi di cek sertifikat vaksin tidak ada,neutral,3.0,1,negative,negative,negative,negative
206,satusehat,Saya sudah selesai vaksin 1&2 tpi sampai sekarang sertivikat vaksin saya tidak dapat di akses dri peduli lindungi,negative,1.0,1,negative,negative,negative,negative
207,JMO,Trimakasih telah membantu jaminan hari tua saya.,positive,4.0,1,positive,positive,positive,positive
208,KAI,"Banyak membatu saya, trimakasih",positive,4.0,1,positive,positive,positive,positive
209,JMO,JMO sangat membantu Saya dlam pengecekan data BPJS KETENAGAKERJAAN,positive,5.0,1,positive,positive,positive,positive
210,satusehat,Kok pas dibuka aplikasinya keluar sendiri,negative,1.0,1,negative,negative,negative,negative
211,mobileJKN,Aplikasi ini sangat membantu masyarakat dalam mengekses layanan BPJS kesehatan,positive,5.0,1,positive,positive,positive,positive
212,JMO,Baru donload langsung minta di perbaharui apa apaan,negative,1.0,1,negative,negative,negative,negative
213,JMO,lebih much dalam pengecekan saldo,positive,5.0,1,positive,positive,positive,positive
